player_id,player_name_ESPN_DATA,ODI_Bat_NotOut,ODI_Highest_Bat_Inning_Score,ODI_Bat_Avg,ODI_Bat_SR,ODI_Hundred_Scored,ODI_Fifty_Scored,ODI_Boundary_Four,ODI_Boundary_Six,ODI_Bowl_Avg,ODI_Economy_Rate,ODI_Bowl_SR,ODI_4Wt_in_Inn,ODI_5Wt_in_Inn,ODI_Inn_Bat_Field
1,RG Sharma,36,264,48.85,110.21,30,52,928,292,64.37,5.21,74.1,0,0,243
2,HH Pandya,8,92,33.8,63.36,0,11,132,66,36.03,5.51,39.2,1,0,60
3,Shubman Gill,6,208,66.1,102.84,6,9,213,40,0,0,0,0,0,35
4,V Kohli,41,183,57.38,105.7,47,66,1226,142,166.25,6.22,160.2,0,0,269
5,SS Iyer,3,113,46.17,105.7,3,14,176,37,0,6.32,0,0,0,42
6,KL Rahul,10,112,47.72,63.36,6,15,177,52,0,0,0,0,0,58
7,RA Jadeja,45,87,32.14,110.21,0,13,192,51,36.95,4.92,45,7,1,127
8,SN Thakur,6,50,17.31,105.11,0,1,31,9,30.34,6.24,29.1,3,0,25
9,JJ Bumrah,13,16,7.3,63.36,0,0,9,1,24.31,4.67,31.2,5,2,23
10,Mohammed Siraj,7,9,6.16,110.21,0,0,2,0,20.01,4.87,24.6,2,1,13
11,Kuldeep Yadav,17,19,10,63.36,0,0,13,0,25.62,5.13,29.9,7,2,34
12,Mohammed Shami,19,25,8.4,110.21,0,0,16,9,25.5,5.57,27.4,9,2,44
13,R Ashwin,20,65,16.44,110.21,0,1,60,7,33.2,4.94,40.2,1,0,63
14,Ishan Kishan,2,210,44.3,63.36,1,7,90,31,0,0,0,0,0,22
15,SA Yadav,4,72,27.79,110.21,0,4,68,18,0,0,0,0,0,28
16,Babar Azam,12,158,57.59,88.94,19,28,488,56,0,0,0,0,0,106
17,Shadab Khan,11,86,26.41,84.08,0,4,46,16,32.95,5.17,38.1,5,0,40
18,Abdullah Shafique,0,52,20,72.07,0,1,3,3,0,0,0,0,0,4
19,Fakhar Zaman,5,210,44.98,91.91,10,15,380,56,111,4.93,135,0,0,78
20,Haris Rauf,5,16,5.16,52.54,0,0,3,1,23.78,5.64,25.2,4,1,11
21,Hasan Ali,11,59,14.52,121,0,2,24,24,30.06,5.73,31.4,1,4,36
22,Iftikhar Ahmed,6,109,43.72,103.66,1,1,42,12,38.15,5.65,40.4,0,1,17
23,Imam-ul-Haq,6,151,49.85,82.17,9,19,232,30,0,0,0,0,0,66
24,Mohammad Nawaz,6,53,19.15,90.09,0,1,26,8,32.07,4.96,38.7,3,0,25
25,Mohammad Rizwan,13,115,37.46,88.67,2,13,150,16,0,0,0,0,0,60
26,Mohammad Wasim,1,17,9.5,96.61,0,0,3,3,26.7,5.24,30.5,1,0,7
27,Agha Salman,5,58,39.63,96.46,0,3,38,8,88.25,5.51,96,0,0,16
28,Saud Shakeel,1,68,28.8,90.56,0,2,16,1,37,4.72,47,0,0,6
29,Shaheen Shah Afridi,15,23,17.11,80.62,0,0,12,6,23.51,5.45,25.8,6,2,24
30,Usama Mir,0,20,8,129.03,0,0,2,3,35.09,5.43,38.7,1,0,5
